Time(dd/mm/yyyy),Carbon dioxide(ppm),Temperature(°C),Relative humidity(%),Atmospheric pressure(hPa)
16/07/2022 2:16:50 AM,"1160","26.6","50",""
16/07/2022 2:17:50 AM,"1160","26.6","50","994"
16/07/2022 2:18:50 AM,"1160","26.6","50","994"
16/07/2022 2:19:50 AM,"1160","26.6","50","994"
16/07/2022 2:20:50 AM,"972","23.6","46","1010"
16/07/2022 2:21:50 AM,"972","23.6","46","1010"
16/07/2022 2:22:50 AM,"972","23.6","46","1010"
16/07/2022 2:23:50 AM,"972","23.6","46","1010"
16/07/2022 2:24:50 AM,"972","23.6","46","1010"
16/07/2022 2:25:50 AM,"961","23.7","46","1010"
16/07/2022 2:26:50 AM,"961","23.7","46","1010"
16/07/2022 2:27:50 AM,"961","23.7","46","1010"
16/07/2022 2:28:50 AM,"961","23.7","46","1010"
16/07/2022 2:29:50 AM,"961","23.7","46","1010"
16/07/2022 2:30:50 AM,"968","23.8","46","1010"
16/07/2022 2:31:50 AM,"968","23.8","46","1010"
16/07/2022 2:32:50 AM,"968","23.8","46","1010"
16/07/2022 2:33:50 AM,"968","23.8","46","1010"
16/07/2022 2:34:50 AM,"968","23.8","46","1010"
16/07/2022 2:35:50 AM,"963","23.9","46","1010"
16/07/2022 2:36:50 AM,"963","23.9","46","1010"
16/07/2022 2:37:50 AM,"963","23.9","46","1010"
16/07/2022 2:38:50 AM,"963","23.9","46","1010"
16/07/2022 2:39:50 AM,"963","23.9","46","1010"
16/07/2022 2:40:50 AM,"979","23.9","46","1010"
16/07/2022 2:41:50 AM,"979","23.9","46","1010"
16/07/2022 2:42:50 AM,"979","23.9","46","1010"
16/07/2022 2:43:50 AM,"979","23.9","46","1010"
16/07/2022 2:44:50 AM,"979","23.9","46","1010"
16/07/2022 2:45:50 AM,"981","23.9","46","1009"
16/07/2022 2:46:50 AM,"981","23.9","46","1009"
16/07/2022 2:47:50 AM,"981","23.9","46","1009"
16/07/2022 2:48:50 AM,"981","23.9","46","1009"
16/07/2022 2:49:50 AM,"981","23.9","46","1009"
16/07/2022 2:50:50 AM,"973","24.0","46","1010"
16/07/2022 2:51:50 AM,"973","24.0","46","1010"
16/07/2022 2:52:50 AM,"973","24.0","46","1010"
16/07/2022 2:53:50 AM,"973","24.0","46","1010"
16/07/2022 2:54:50 AM,"973","24.0","46","1010"
16/07/2022 2:55:50 AM,"989","24.0","46","1009"
16/07/2022 2:56:50 AM,"989","24.0","46","1009"
16/07/2022 2:57:50 AM,"989","24.0","46","1009"
16/07/2022 2:58:50 AM,"989","24.0","46","1009"
16/07/2022 2:59:50 AM,"989","24.0","46","1009"
16/07/2022 3:00:50 AM,"1005","23.8","45","1009"
16/07/2022 3:01:50 AM,"1005","23.8","45","1009"
16/07/2022 3:02:50 AM,"1005","23.8","45","1009"
16/07/2022 3:03:50 AM,"1005","23.8","45","1009"
16/07/2022 3:04:50 AM,"1005","23.8","45","1009"
16/07/2022 3:05:50 AM,"1006","23.4","46","1009"
16/07/2022 3:06:50 AM,"1006","23.4","46","1009"
16/07/2022 3:07:50 AM,"1006","23.4","46","1009"
16/07/2022 3:08:50 AM,"1006","23.4","46","1009"
16/07/2022 3:09:50 AM,"1006","23.4","46","1009"
16/07/2022 3:10:50 AM,"1018","23.6","46","1009"
16/07/2022 3:11:50 AM,"1018","23.6","46","1009"
16/07/2022 3:12:50 AM,"1018","23.6","46","1009"
16/07/2022 3:13:50 AM,"1018","23.6","46","1009"
16/07/2022 3:14:50 AM,"1018","23.6","46","1009"
16/07/2022 3:15:50 AM,"972","23.7","46","1009"
16/07/2022 3:16:50 AM,"972","23.7","46","1009"
16/07/2022 3:17:50 AM,"972","23.7","46","1009"
16/07/2022 3:18:50 AM,"972","23.7","46","1009"
16/07/2022 3:19:50 AM,"972","23.7","46","1009"
16/07/2022 3:20:50 AM,"966","23.8","46","1010"
16/07/2022 3:21:50 AM,"966","23.8","46","1010"
16/07/2022 3:22:50 AM,"966","23.8","46","1010"
16/07/2022 3:23:50 AM,"966","23.8","46","1010"
16/07/2022 3:24:50 AM,"966","23.8","46","1010"
16/07/2022 3:25:50 AM,"952","23.8","46","1009"
16/07/2022 3:26:50 AM,"952","23.8","46","1009"
16/07/2022 3:27:50 AM,"952","23.8","46","1009"
16/07/2022 3:28:50 AM,"952","23.8","46","1009"
16/07/2022 3:29:50 AM,"952","23.8","46","1009"
16/07/2022 3:30:50 AM,"979","23.9","46","1009"
16/07/2022 3:31:50 AM,"979","23.9","46","1009"
16/07/2022 3:32:50 AM,"979","23.9","46","1009"
16/07/2022 3:33:50 AM,"979","23.9","46","1009"
16/07/2022 3:34:50 AM,"979","23.9","46","1009"
16/07/2022 3:35:50 AM,"951","23.9","46","1009"
16/07/2022 3:36:50 AM,"951","23.9","46","1009"
